device_number,serial
1,G172XT10004W
2,G172XT1000UV
3,G172XT1000WP
4,G172XT10010J
6,G272XT10000T
7,G272XT100012
10,G272XT10001T
12,G272XT10004G
15,G372XT100001
18,G372XT100004
20,G372XT100007
21,G372XT100008
22,G372XT100009
23,G372XT10000B
24,G372XT10000D
25,G372XT10000F
26,G372XT10000G
27,G372XT10000H
28,G372XT10000K
29,G372XT10000N
31,G372XT10000Y
32,G372XT100010
33,G372XT100011
36,G372XT100015
37,G372XT100016
38,G372XT10001C
39,G372XT10001G
40,G372XT10001J
41,G372XT10001M
42,G372XT10001Q
43,G372XT10001R
46,G372XT100023
47,G372XT100024
48,G372XT100026
50,G372XT100028
52,G372XT10002D
53,G372XT10002F
55,G372XT10002H
58,G372XT10002S
59,G372XT10002U
60,G372XT10002V
61,G372XT100032
62,G372XT100033
63,G372XT100034
64,G372XT100036
65,G372XT100038
67,G372XT10003B
68,G372XT10003G
71,G372XT10003N
72,G372XT10003R
73,G372XT10003T
74,G372XT100041
75,G372XT100044
76,G372XT100045
77,G372XT100047
78,G372XT10004B
79,G372XT10004C
80,G372XT10004R
81,G372XT10004W
84,G372XT100055
85,G372XT100067
86,G372XT100096
87,G372XT1000BT
90,G372XT1000C9
91,G472XT1000HQ
92,G472XT1000PV
93,G472XT1000RF
94,G472XT1000VW
97,G472XT1000WV
98,G572XT10002E
99,G572XT1000YD
100,G572XT1000YN
102,G572XT100135
104,G572XT10013R
105,G572XT100145
106,G572XT100162
107,G572XT10017E
108,G572XT1001BY
110,GA62XT01000E
111,GA62XT010010
112,GA62XT01001C
113,GA62XT010028
114,GA62XT01002S
115,GA62XT010031
116,GA62XT01003B
117,GA62XT01003P
119,GA62XT01006K
120,GB62XT0000M7
122,GA62XT0100FB
124,GA62XT0100K2
126,GA62XT0100N0
128,GA62XT0100P8
130,GB62XT000008
131,GB62XT000016
133,GB62XT0000AK
134,GB62XT0000AX
135,GB62XT0000B6
136,GB62XT0000DE
137,GB62XT0000DM
138,GB62XT0000DW
141,GB62XT0000EA
144,GB62XT0002FC
145,GB62XT0000FG
147,GB62XT0002FQ
148,GB62XT0000FW
150,GB62XT0000GE
153,GB62XT0000MB
154,GB62XT0000MD
155,GB62XT0000MF
156,GB62XT0000MG
157,GB62XT0000MP
160,GB62XT0000N1
161,GB62XT0000N3
162,GB62XT0000PU
164,GB62XT0000SE
165,GB62XT0000VR
167,GB62XT0002FD
168,GB62XT0000FQ
169,GB62XT1000AF
171,GB62XT1002A7
172,GB62XT11016P
173,GB62XT1101D4
177,GC62XT1101TK
178,GC62XT1101TR
179,GB62XT0000MY
180,GA62XT01005F
181,G572XT100138
183,G572XT1001BH
185,G572XT10016S
193,G572XT10003K
196,G572XT1000KW
198,G572XT1000UJ
199,G572XT1000VP
200,G572XT1000W7
201,G572XT1000Y4
202,G572XT1000YX
203,G572XT100103
204,G572XT100108
205,G572XT10010N
206,G572XT100113
207,G572XT100114
208,G572XT10011H
209,G572XT10011Q
210,G572XT10012N
211,G572XT10012P
212,G572XT10012W
213,G572XT100131
217,G572XT10013V
219,G572XT100143
220,G572XT10014A
221,G572XT10014D
223,G572XT100151
224,G572XT10015K
225,G572XT10015N
226,G572XT10015R
230,G572XT100163
231,G572XT100168
233,G572XT10016F
235,G572XT10016K
237,G572XT10016R
240,G572XT10016V
242,G572XT100172
244,G572XT100178
245,G572XT10017F
246,G572XT10017G
247,G572XT10017H
248,G572XT10017M
249,G572XT10017R
250,G572XT10017T
251,G572XT10017X
253,G572XT100181
254,G572XT100183
255,G572XT100184
256,G572XT100186
257,G572XT100187
258,G572XT100188
259,G572XT100189
260,G572XT10018A
261,G572XT10018D
263,G572XT10018H
264,G572XT10018J
265,G572XT10018K
266,G572XT10018P
267,G572XT10018Q
269,G572XT10018U
270,G572XT10018V
272,G572XT10018X
273,G572XT100190
274,G572XT100191
275,G572XT100192
276,G572XT100193
278,G572XT100198
279,G572XT100199
280,G572XT10019B
281,G572XT10019D
282,G572XT10019F
283,G572XT10019H
284,G572XT10019J
286,G572XT10019P
288,G572XT10019R
289,G572XT10019U
290,G572XT10019W
295,G572XT1001AT
406,G672XT1001DT
407,G772XT1000XT
408,G572XT10006B
409,G772XT1000PJ
410,G772XT100122
411,GA62XT0100M9
